Index,Link,Playlist ID,Essential/Optional (E/O),
Exercise 2,/e/adding_decimals/,,E,
Exercise 3,/e/adding_decimals_2/,,E,
Exercise 4,/e/subtracting_decimals_0.5/,,E,
Exercise 5,/e/subtracting_decimals/,,E,
Video 8,/v/multiplying-decimals/,,E,
Video 9,/v/mulitplyling-decimals-3/,,E,
Video 10,/v/mulitplication-8--multiplying-decimals--old-video/,,,
,Quiz 11,g5_p18_q11,,
,,,,
,Playlist 19 - Conversion of decimals,g5_p19,,
,Subtitle : Week 24,,,
Video 1,/v/converting-fractions-to-decimals-example/,,E,
Video 2,/v/converting-fractions-to-decimals--ex1/,,E,
Video 3,/v/converting-fractions-to-decimals--ex2/,,E,
Video 4,/v/converting-fractions-to-decimals/,,E,
Video 5,/v/representing-a-number-as-a-decimal--percent--and-fraction-2/,,E,
Video 6,/v/representing-a-number-as-a-decimal--percent--and-fraction/,,E,
Exercise 1,/e/converting_fractions_to_decimals/,,E,
,,,E,
Video 7,/v/converting-decimals-to-fractions-1--ex-2/,,E,
Video 8,/v/converting-decimals-to-fractions-1--ex-3/,,E,
Video 9,/v/converting-decimals-to-fractions-2--ex-1/,,E,
Video 10,/v/converting-decimals-to-fractions-2--ex-2/,,E,
Exercise 2,e/converting_decimals_to_fractions_1/,,E,
Exercise 3,/e/converting_decimals_to_fractions_2/,,E,
Video 11,/v/ordering-numeric-expressions_DUP_3/,,E,
Video 12,/v/adding-decimals-example-1,,E,
Video 13,/v/converting-a-fraction-to-a-repeating-decimal/,,E,
Video 14,/v/regrouping-with-decimalsregrouping-with-decimals/,,E,
Video 15,/v/regrouping-with-decimals-example,,E,
Video 16,/v/regrouping-decimals-example-2,,E,
,Quiz 12,g5_p19_q12,,
,Unit Test 5 ,"g5_p15, g5_p16,g5_p17,g5_p18,g5_p19",2,
,Playlist 20: Measuring angles,g5_p20,,
,,,,
Video 1,/v/angle-basics/,,E,
Video 2,/v/measuring-angles-in-degrees/,,E,
Video 3,/v/using-a-protractor/,,E,
Video 4,/v/measuring-angles/,,E,
Exercise 1,/e/measuring_angles/,,E,
Video 5,/v/acute-right-and-obtuse-angles/,,E,
Exercise 2,/e/angle_types/,,E,
Video 6,/v/vertical--adjacent-and-linearly-paired-angles/,,E,
Exercise 3,/e/exploring_angle_pairs_1/,,E,
,,,,
,Playlist 21: Circles,g5_p21,,
,,,,
,Subtitle : Week 25,,,
